Name: 0  Password: 0  role: 0  state: 0
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
Name: 0  Password: 0  role: 999  state: 999
